instruction,input,output,prompt,formatted_input
Name a type of art endemic to a particular culture.,Culture: Mayan,A type of art endemic to the Mayan culture is stucco relief sculpture.,"Name a type of art endemic to a particular culture.

Culture: Mayan","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Name a type of art endemic to a particular culture.

Culture: Mayan<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a story about an unusual friendship,,"Once upon a time, there was a wise and ancient tree in the middle of a forest who was friends with a small, mischievous rabbit. Even though they were unlikely friends, they shared all sorts of adventures together, and the tree taught the rabbit life lessons every day. From daring escapes and inside jokes to sharing secrets and getting into all sorts of trouble, their friendship flourished and their bond grew stronger and stronger until one day, when the tree suddenly disappeared, leaving behind only the memories of their special friendship.",Create a story about an unusual friendship,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a story about an unusual friendship<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Determine the area of a regular pentagon with a side length of 10 cm.,10 cm,The area of a regular pentagon with a side length of 10 cm is 247.26 square centimeters.,"Determine the area of a regular pentagon with a side length of 10 cm.

10 cm","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Determine the area of a regular pentagon with a side length of 10 cm.

10 cm<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Give an example of a situation in which you had to negotiate.,,I had to negotiate with my landlord to get a better price for my apartment.,Give an example of a situation in which you had to negotiate.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Give an example of a situation in which you had to negotiate.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Given an input of $300, calculate 10% tax",300,30.00,"Given an input of $300, calculate 10% tax

300","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Given an input of $300, calculate 10% tax

300<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
What is the capital of France?,,The capital of France is Paris.,What is the capital of France?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

What is the capital of France?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Search the internet and find an example of a memo.,,"This is an example of a memo from the American Bar Association: 

To: All ABA Employees
From: Ann E. Becker, Chair
Re: Working From Home

Date: April 5, 20XX 
 
As we continue to monitor the coronavirus pandemic and take steps to protect the health and safety of our employees, the ABA is allowing employees to work from home. Those who are able to work from home should do so. For questions or other guidance related to COVID-19, please consult the ABA’s HR website or call our HR hotline. 

Thank you and be safe.",Search the internet and find an example of a memo.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Search the internet and find an example of a memo.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Design a logo for a company that produces automotive parts.,,"The logo should feature a black silhouette of a car with a gear in its center. The words ""Automotive Parts"" should be highlighted in the center in a bold, modern font. The background should be white or a light grey.",Design a logo for a company that produces automotive parts.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Design a logo for a company that produces automotive parts.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Guess a three-letter English word,,Cat.,Guess a three-letter English word,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Guess a three-letter English word<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Evaluate the following statement: ""We need to take more action when it comes to climate change.""",,"The statement is absolutely correct – we need to take action now to mitigate the effects of climate change before it is too late. Over the past few decades, climate change has become more and more evident, leading to rising sea levels, extreme weather events, and droughts. We must make collective efforts to reduce our carbon emissions and switch to renewable energy sources in order to make an impact.","Evaluate the following statement: ""We need to take more action when it comes to climate change.""","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Evaluate the following statement: ""We need to take more action when it comes to climate change.""<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Calculate the median of the following set of numbers:

4, 15, 22, 32, 43, 54",,32,"Calculate the median of the following set of numbers:

4, 15, 22, 32, 43, 54","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Calculate the median of the following set of numbers:

4, 15, 22, 32, 43, 54<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Generate a review for a recent movie,Movie name: The Martian,"The Martian is an exciting, thrilling and inspiring movie that is sure to stimulate the senses. The story follows Mark Watney, a NASA Astronaut who is stranded on Mars after being presumed dead. He must use his skills in science and engineering to survive on the harsh planet and find a way back home. The Martian is a gripping movie that depicts the struggle of survival in an extreme environment, along with the hope of being rescued. The actors and special effects give a realistic feel to the story, making it even more captivating. The movie is certainly a must-watch and a great representation of human ingenuity and resilience.","Generate a review for a recent movie

Movie name: The Martian","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Generate a review for a recent movie

Movie name: The Martian<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Write a summary of the product features in a single sentence.,This product is a facial recognition software that uses camera and deep learning technology to accurately detect and recognize objects in photos.,This product is a facial recognition software that utilizes sophisticated camera and machine learning technology to quickly and accurately identify objects in images.,"Write a summary of the product features in a single sentence.

This product is a facial recognition software that uses camera and deep learning technology to accurately detect and recognize objects in photos.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a summary of the product features in a single sentence.

This product is a facial recognition software that uses camera and deep learning technology to accurately detect and recognize objects in photos.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Sort these cities by their population.,"Rome, Paris, London.","London, Rome, Paris.","Sort these cities by their population.

Rome, Paris, London.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Sort these cities by their population.

Rome, Paris, London.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Come up with a new game that can be played by people of all ages.,,"A new game that can be played by people of all ages is called ""Mosaic Maker"". Players are given a set of mosaic tiles of different shapes and colors and have to arrange them on a board. Each round has a given time limit, and each player has to create the most intricate mosaic possible before time runs out. The player with the most points at the end of the game wins.",Come up with a new game that can be played by people of all ages.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Come up with a new game that can be played by people of all ages.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Transform these sentences into a passive voice,They are singing a song.,A song is being sung by them.,"Transform these sentences into a passive voice

They are singing a song.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Transform these sentences into a passive voice

They are singing a song.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find the median of the given numbers and explain the meaning of median.,"10, 65, 8, 22, 15","The median of the given numbers is 15. The median is the middle point of a dataset where the values are sorted in ascending or descending order. It is the number at the halfway point, where half the numbers are above it and half the numbers are below it. It is an ideal measure of central tendency as it is not affected by extreme values. The median gives us an idea of the typical value in the dataset.","Find the median of the given numbers and explain the meaning of median.

10, 65, 8, 22, 15","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find the median of the given numbers and explain the meaning of median.

10, 65, 8, 22, 15<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Rewrite the following sentence with an alternate verb,The sun glared brightly,The sun beamed brightly.,"Rewrite the following sentence with an alternate verb

The sun glared brightly","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Rewrite the following sentence with an alternate verb

The sun glared brightly<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Edit the following sentence so that it is in the simple past tense: ""Today, I goes to the store to buy eggs.""",,"Yesterday, I went to the store to buy eggs.","Edit the following sentence so that it is in the simple past tense: ""Today, I goes to the store to buy eggs.""","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Edit the following sentence so that it is in the simple past tense: ""Today, I goes to the store to buy eggs.""<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Construct a search query to find a wooden chair with a reclining backrest.,,"Search query: ""wooden chair reclining backrest"".",Construct a search query to find a wooden chair with a reclining backrest.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Construct a search query to find a wooden chair with a reclining backrest.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a program that prints out the Fibonacci sequence up to the number 100.,,"1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 100",Create a program that prints out the Fibonacci sequence up to the number 100.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a program that prints out the Fibonacci sequence up to the number 100.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Generate a view of the city you are living in.,,"I'm looking upon the city skyline from the top of a tall building. The streets below are filled with cars and people walking by. The sun is setting, painting the sky with a rainbow of colors and casting long shadows on the buildings. The city sparkles and glimmers with the twinkling of the street lights. In the distance, I can see the river running by and the outline of the mountains beyond.",Generate a view of the city you are living in.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Generate a view of the city you are living in.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find the Past-perfect tense verb.,She had given the money to her teacher.,Had given,"Find the Past-perfect tense verb.

She had given the money to her teacher.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find the Past-perfect tense verb.

She had given the money to her teacher.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Describe a plant cell to me.,,"A plant cell is a type of eukaryotic cell that has a rigid cell wall, a nucleus, a vacuole, a cytoplasm, and other organelles that are embedded in the cytoplasm. Plant cells also contain chloroplasts, which are used for photosynthesis.",Describe a plant cell to me.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a plant cell to me.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Provide an example of a use case for Machine Learning,,An example of a use case for Machine Learning is a spam filtering system. It uses ML algorithms to detect spam emails and filter them out of a user's inbox.,Provide an example of a use case for Machine Learning,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Provide an example of a use case for Machine Learning<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Tell me three reasons why it is important to exercise.,,"Exercising is important for many reasons, including:

1. Improving physical health: physical exercise helps to keep the body fit, reduce risk of disease, and provides many health benefits.

2. Improving mental health: exercise helps to improve mood and reduce stress, which can lead to improved mental wellbeing.

3. Developing social bonds: exercise can be a social activity, which helps to build friendships and connections with others.",Tell me three reasons why it is important to exercise.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Tell me three reasons why it is important to exercise.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Provide a set of steps to complete the given task.,Make French Toast,"Instructions for Making French Toast

1. Gather the ingredients – butter, eggs, cinnamon, sugar, bread slices, and a dash of vanilla extract. 
2. Melt the butter in a shallow bowl and set aside.
3. In a separate bowl, whisk together the eggs, cinnamon, sugar, and vanilla extract.
4. Dip each slice of bread into the egg mixture, ensuring it is evenly and completely coated.
5. Heat a skillet on medium heat and lightly grease with some of the melted butter. 
6. Place the soaked bread slices onto the heated skillet and cook for 2-3 minutes until lightly browned. 
7. Flip the slices over and cook for an additional 1-2 minutes on the other side.
8. Serve the French toast warm with maple syrup, fresh fruit, or a sprinkle of confectioners sugar. Enjoy!","Provide a set of steps to complete the given task.

Make French Toast","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Provide a set of steps to complete the given task.

Make French Toast<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Identify the subject in the sentence: ""She played the guitar on the porch.""",,"The subject in the sentence is ""She"".","Identify the subject in the sentence: ""She played the guitar on the porch.""","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Identify the subject in the sentence: ""She played the guitar on the porch.""<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Design a simple hello world program.,,"A simple hello world program can be written in any programming language. Here's a sample program written in Python:

print(""Hello, World!"")",Design a simple hello world program.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Design a simple hello world program.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Form an adverb out of the word 'privacy'.,,Privately.,Form an adverb out of the word 'privacy'.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Form an adverb out of the word 'privacy'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
